cle_unique;emplacement_source;datetime_ingestion;privacy_level;nom_entreprise;nro_avis;site_web;taille;date_fondation;secteur;revenu;type_entreprise
164252576885234462719092175232636577506;13623-INFO-SOC-GLASSDOOR-E1146056_P1.html;2021-03-28 15:57:13;0;Montreal Associates; 33;www.montrealassociates.com;De 51 à 200 employés; 1978; Recrutement et sous-traitance; Entre 50 et 100 millions € (EUR) par an; Entreprise non cotée en bourse
302910532120473012544940402989283329832;13777-INFO-SOC-GLASSDOOR-E116383_P1.html;2021-03-28 15:57:13;0;GFI; 28;www.gfi.su;De 51 à 200 employés; Inconnu; Jeux vidéo; Ne sait pas / non applicable par an; Entreprise non cotée en bourse
76327342279870942205588361711179412073;13745-INFO-SOC-GLASSDOOR-E3803_P1.html;2021-03-28 15:57:14;0;Capgemini; 20k;www.fr.capgemini.com;Plus de 10 000 employés; 1967; Solutions logicielles et réseau d'entreprise; Entre 1 et 2 milliards € (EUR) par an; Entreprise cotée en bourse (CAP) 
68768529103392356010156223788087075366;13627-INFO-SOC-GLASSDOOR-E253618_P1.html;2021-03-28 15:57:14;0;Concordia University; 519;www.concordia.ca;De 5 001 à 10 000 employés; Inconnu; Enseignement supérieur et universités; Entre 100 et 500 millions € (EUR) par an; Enseignement supérieur/universitaire
249096914728080277216501413439932481378;13711-INFO-SOC-GLASSDOOR-E3043501_P1.html;2021-03-28 15:57:14;0;Crédit Agricole d'Ile de France; 4;www.ca-paris.com;De 1 001 à 5 000 employés; Inconnu; Inconnu; Ne sait pas / non applicable par an; Inconnu
146504786736025880458632652143692581007;13614-INFO-SOC-GLASSDOOR-E230035_P1.html;2021-03-28 15:57:14;0;SeLoger; 56;www.recrutement.seloger.com;De 501 à 1 000 employés; 1992; Édition; Entre 100 et 500 millions € (EUR) par an; Entreprise non cotée en bourse
137893350212600947232171586404398650262;13625-INFO-SOC-GLASSDOOR-E192082_P1.html;2021-03-28 15:57:14;0;Polytechnique Montréal; 115;www.polymtl.ca;De 1 001 à 5 000 employés; 1873; Enseignement supérieur et universités; Ne sait pas / non applicable; Enseignement supérieur/universitaire
226024321779305281183926888921098524393;13734-INFO-SOC-GLASSDOOR-E10358_P1.html;2021-03-28 15:57:14;0;Thales; 2,0k;www.thalesgroup.com;Plus de 10 000 employés; 2000; Aérospatiale et Défense; Entre 5 et 10 milliards € (EUR) par an; Entreprise cotée en bourse (HO) 
147758602553453000680198165000736350110;13770-INFO-SOC-GLASSDOOR-E1013306_P1.html;2021-03-28 15:57:14;0;D2SI; 3;www.d2-si.fr;De 51 à 200 employés; 2006; Conseils; Entre 10 et 25 millions € (EUR) par an; Entreprise non cotée en bourse
331853232375324648987864589749977587423;13562-INFO-SOC-GLASSDOOR-E1303620_P1.html;2021-03-28 15:57:14;0;2S2I Solutions & Services; 4;www.2s2isolutions.com;De 51 à 200 employés; 2007; Services informatiques; Entre 5 et 10 millions € (EUR) par an; Autre organisation
85655814582582379634091108841380914764;13676-INFO-SOC-GLASSDOOR-E1130981_P1.html;2021-03-28 15:57:15;0;Groupe Altice Média; 9;www.lexpress.fr;De 501 à 1 000 employés; Inconnu; Inconnu; Ne sait pas / non applicable par an; Inconnu
247498014393937833949172300284196060909;13636-INFO-SOC-GLASSDOOR-E1303620_P1.html;2021-03-28 15:57:15;0;2S2I Solutions & Services; 4;www.2s2isolutions.com;De 51 à 200 employés; 2007; Services informatiques; Entre 5 et 10 millions € (EUR) par an; Autre organisation
131219048380163336148973279848519827742;13551-INFO-SOC-GLASSDOOR-E794111_P1.html;2021-03-28 15:57:15;0;Atos; 56;www.atos.com;Entre 201 et 500 employés; Inconnu; Fabrication d'appareils électriques et électroniques; Entre 50 et 100 millions € (EUR) par an; Entreprise non cotée en bourse
