cle_unique;emplacement_source;datetime_ingestion;privacy_level;entreprise;date;review_titre;status_employe;lieu;recommande;commentaire;avantage;incovenient
313777356224862674915515417022570942682;13746-AVIS-SOC-GLASSDOOR-E589990_P1.html;2021-03-28 15:57:25;0;Capgemini Invent;Nov 12, 2019; Capgemini Invent, société à la fois dynamique qui a pris le tournant du digital et humaine ;Employé actuel - Employé anonyme;Issy;Recommande;Je travaille chez Capgemini Invent à temps plein;La qualité et la valeur de l'ensemble des personnes avec lesquelles j'ai eu l'occasion de travailler depuis 14 ans.  L'ambition et le renouvellement permanent de cette société qui aujourd'hui apporte une réponse de bout en bout à nos clients. Les valeurs de cette société qui se vivent au quotidien : l'honnêteté, l'audace, la confiance, la liberté, la solidarité, la simplicité et le plaisir. Capgemini Invent est... labellisée "Great Place To Work" et je confirme que c'est vrai !;Pas d’avantages pour les employés
49955579970813541832947883806749432420;13746-AVIS-SOC-GLASSDOOR-E589990_P1.html;2021-03-28 15:57:25;0;Capgemini Invent;Oct 30, 2019; Très bon ;Employé actuel - Senior Consultant;Paris;Recommande;Je travaille chez Capgemini Invent à temps plein depuis plus d'un an;Liberté, humilité, bienveillance, effort sur la formation et la valorisation des consultants;Peu d'esprit de corps, rémunération un peu en dessous du marché
11587341629511791653643581172621212239;13596-AVIS-SOC-GLASSDOOR-E111193_P1.html;2021-03-28 15:57:25;0;Lacoste;Oct 17, 2019; Malhonnêtes ;Ancien employé - Sales Assistant;Fribourg;Ne recommande pas;J'ai travaillé chez Lacoste à temps plein plus de 3 ans;Ne recommande pas;Pas d’avantages pour les employés
195404817482884027759551147538549817214;13596-AVIS-SOC-GLASSDOOR-E111193_P1.html;2021-03-28 15:57:25;0;Lacoste;Oct 14, 2019; Peu d'importance a l humain ;Ancien employé - Employé anonyme;NULL;Ne recommande pas;J'ai travaillé chez Lacoste à temps plein;Ne recommande pas;Pas d’avantages pour les employés
142121546192412647036589263301542778544;13596-AVIS-SOC-GLASSDOOR-E111193_P1.html;2021-03-28 15:57:25;0;Lacoste;Sep 12, 2019; Avis ;Employé actuel - Employé anonyme;NULL;Ne recommande pas;Je travaille chez Lacoste à temps plein;Ne recommande pas;Pas d’avantages pour les employés
139754444271006981902089503752373112852;13596-AVIS-SOC-GLASSDOOR-E111193_P1.html;2021-03-28 15:57:25;0;Lacoste;Jul 26, 2019; Croissance forte et équipe compétente ;;NULL;Recommande;Je travaille chez Lacoste à ;Ne recommande pas;Pas d’avantages pour les employés
21928441141198612963743802953984759402;13596-AVIS-SOC-GLASSDOOR-E111193_P1.html;2021-03-28 15:57:25;0;Lacoste;Jul 18, 2019; Bonne experience ;Employé actuel - Employé anonyme;NULL;Ne recommande pas;Je travaille chez Lacoste à temps plein;Ne recommande pas;Pas d’avantages pour les employés
240055757516400466638889048136491440139;13596-AVIS-SOC-GLASSDOOR-E111193_P1.html;2021-03-28 15:57:25;0;Lacoste;Jul 16, 2019; Good ;Employé actuel - Employé anonyme;NULL;Recommande;Je travaille chez Lacoste à temps plein;Ne recommande pas;Pas d’avantages pour les employés
242845004419712884903323830601932391070;13596-AVIS-SOC-GLASSDOOR-E111193_P1.html;2021-03-28 15:57:25;0;Lacoste;Jun 19, 2019; Très bien ;Ancien employé - Employé anonyme;NULL;Recommande;J'ai travaillé chez Lacoste à temps plein;Ne recommande pas;Pas d’avantages pour les employés
113796541228405949399823504856991549950;13596-AVIS-SOC-GLASSDOOR-E111193_P1.html;2021-03-28 15:57:25;0;Lacoste;Apr 17, 2019; Avantages basiques ;Employé actuel - Contrôleur De Gestion;Paris;Recommande;Je travaille chez Lacoste à temps plein depuis plus de 3 ans;Ne recommande pas;Pas d’avantages pour les employés
290868730270292472111449274222410187711;13596-AVIS-SOC-GLASSDOOR-E111193_P1.html;2021-03-28 15:57:25;0;Lacoste;Mar 20, 2019; Vendeur ;Ancien employé - Employé anonyme;NULL;Ne recommande pas;J'ai travaillé chez Lacoste à temps plein;Ne recommande pas;Pas d’avantages pour les employés
180147455523633164305935230532752519361;13714-AVIS-SOC-GLASSDOOR-E10777_P2.html;2021-03-28 15:57:25;0;Lectra;May 11, 2018; De merveilleux collègues et une grande expertise. ;Ancien employé - service client;Cestas;Recommande;J'ai travaillé chez Lectra à temps plein plus de 3 ans;Grand environnement dans le sud-ouest de la France, une entreprise de haute technologie dans le secteur de la mode, des collègues passionnés et expérimentés dotés d'un esprit d'équipe.;Gestion à la vieille école, le développement personnel ne fait clairement pas partie de la valeur de l'entreprise.
131470718528635997814080412481102260931;13714-AVIS-SOC-GLASSDOOR-E10777_P2.html;2021-03-28 15:57:25;0;Lectra;Apr 25, 2018; Je ne recommanderais pas Lectra ;Employé actuel - Employé anonyme;NULL;Ne recommande pas;Je travaille chez Lectra à temps plein;Environnement très international Profils variés et intéressants Beaucoup d'intelligence;management autoritaire culture du licenciement peu de respect des collaborateurs
281266723652971899266316032136507993271;13714-AVIS-SOC-GLASSDOOR-E10777_P2.html;2021-03-28 15:57:25;0;Lectra;Jan 22, 2018; Lectra ;Employé actuel - technicien d'atelier;Cestas;Recommande;Je travaille chez Lectra à temps plein depuis plus de 5 ans;Des horaires de confiance , aucune badgeuse;salaires , nous ne sommes pas régularisé par rapport au travail fourni. prime basse par rapport au bénéfice et intéressement.
208037137536899883397784305206917585528;13714-AVIS-SOC-GLASSDOOR-E10777_P2.html;2021-03-28 15:57:25;0;Lectra;Nov 20, 2017; Apprentissage ;Employé actuel - Assistant Chef De Projet;Paris;Recommande;Je travaille chez Lectra à temps plein depuis plus d'un an;Entreprise internationale, mobilité interne encouragée, ambiance de travail très agréable;Anglais indispensable, mobilité et réactivité demandés
68296490626316670307816218724735814748;13714-AVIS-SOC-GLASSDOOR-E10777_P2.html;2021-03-28 15:57:25;0;Lectra;Nov 19, 2017; Bon compromis ;Ancien employé - Business Partner;Grenoble;Recommande;J'ai travaillé chez Lectra à temps plein plus d'un an;Salaire dans la moyenne mais bon cadre de vie;Peu de délégation, priorités changeantes...
93202868064534564154521751726826747721;13714-AVIS-SOC-GLASSDOOR-E10777_P2.html;2021-03-28 15:57:25;0;Lectra;Nov 1, 2017; Bonne conditons - atmosphere moyen ;Ancien employé - Employé anonyme;Paris;Ne recommande pas;J'ai travaillé chez Lectra à temps plein moins d'un an;Salaires interessants pour la region Parisienne;Un atmosphere demotivant. On licencie les salairies facilement.
200066383175109939571708542925846866208;13714-AVIS-SOC-GLASSDOOR-E10777_P2.html;2021-03-28 15:57:25;0;Lectra;Sep 29, 2017; Entreprise à fuir ;Ancien employé - Employé anonyme;Paris;Ne recommande pas;J'ai travaillé chez Lectra à temps plein plus de 3 ans;Localisation dans Paris  Secteur intéressant;Management infantilisant sans aucune vision.  Pas de perspective d'évolution à l'international malgré les filiales à l'étranger
69033934747137744162098937523160067109;13714-AVIS-SOC-GLASSDOOR-E10777_P2.html;2021-03-28 15:57:25;0;Lectra;Sep 19, 2017; stage - marketing intelligence ;Ancien employé - Employé anonyme;NULL;Ne recommande pas;J'ai travaillé chez Lectra à temps plein;Les gens sont sympathiques.  Il sont accueillant avec les étrangères.;Il y a pas de canteen.
257267108541090723794068810545413500106;13714-AVIS-SOC-GLASSDOOR-E10777_P2.html;2021-03-28 15:57:25;0;Lectra;Jun 9, 2017; Correct ;Employé actuel - Employé anonyme;NULL;Ne recommande pas;Je travaille chez Lectra à temps plein;la situation des locaux français est agréable.;pas de télétravail à l'ordre du jour
119589561355414586013581316457454547290;13604-AVIS-SOC-GLASSDOOR-E37990_P1.html;2021-03-28 15:57:25;0;Volvo Cars;Jan 29, 2017; En croissance ;Employé actuel - Zone Manager;NULL;Recommande;Je travaille chez Volvo Cars à temps plein depuis plus de 10 ans;Culture d'entreprise et perspective produit;Reconnaissance salariale et perspective d'evolution
331793642938843209751396537768143111552;13572-AVIS-SOC-GLASSDOOR-E2098670_P1.html;2021-03-28 15:57:26;0;Adsearch;Oct 15, 2019; Belle entreprise avec des valeurs fortes ;Ancien employé - Directrice de bureau;Paris;Recommande;J'ai travaillé chez Adsearch à temps plein plus de 3 ans;Cadre de travail, ambiance, états  d'esprits des collaborateurs et de la direction;Pas de RTT, salaires globalement bas
328804123598146355411853666517379047800;13572-AVIS-SOC-GLASSDOOR-E2098670_P1.html;2021-03-28 15:57:26;0;Adsearch;Mar 12, 2019; Entreprise belle et dynamique ;Employé actuel - Employé anonyme;NULL;Recommande;Je travaille chez Adsearch à temps plein;Super ambiance interne, ainsi qu'une très belle culture d'entreprise.  Une direction à l’écoute et de réelles perspectives d’évolutions;Je n'en vois pas pour l'instant
